x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
5000.0,1.0,0.0,0.813207222938429,334.0,692.0,763.0,1084.0,1360.0,767.0
5000.0,1.0,0.0,0.853865468313057,344.0,548.0,810.0,1123.0,895.0,1280.0
5000.0,1.0,0.0,0.851433725763706,415.0,651.0,844.0,1162.0,957.0,971.0
5000.0,1.0,0.0,0.850670554937513,423.0,715.0,923.0,1190.0,939.0,810.0
5000.0,1.0,0.0,0.818743881989726,654.0,812.0,1224.0,1204.0,747.0,359.0
5000.0,1.0,0.0,0.796560294954426,735.0,930.0,1466.0,1174.0,427.0,268.0
5000.0,1.0,0.0,0.792732307825768,869.0,1152.0,1695.0,889.0,245.0,150.0
5000.0,1.0,0.0,0.831804465191082,502.0,1042.0,1836.0,1068.0,380.0,172.0
5000.0,1.0,0.0,0.889993572107835,107.0,710.0,1783.0,1576.0,558.0,266.0
5000.0,1.0,0.0,0.931970525625866,45.0,132.0,1828.0,1616.0,962.0,417.0
5000.0,1.0,0.0,0.926323641598699,75.0,145.0,1064.0,1775.0,1194.0,747.0
5000.0,1.0,0.0,0.88739025883911,148.0,218.0,948.0,1549.0,1199.0,938.0
5000.0,1.0,0.0,0.844646206788515,259.0,472.0,911.0,1446.0,1057.0,855.0
5000.0,4.0,0.0,0.826407923984255,410.0,576.0,1038.0,1452.0,924.0,600.0
5000.0,4.0,0.0,0.819452738449052,573.0,719.0,1313.0,1321.0,743.0,331.0
5000.0,1.0,0.0,0.850768473726244,717.0,788.0,1530.0,1201.0,519.0,245.0
5000.0,1.0,0.0,0.92727162724313,718.0,814.0,1503.0,1176.0,552.0,237.0
5000.0,1.0,0.0,1.0,835.0,1054.0,1318.0,1081.0,555.0,157.0
5000.0,1.0,0.0,1.0,1068.0,1505.0,1260.0,904.0,189.0,74.0
5000.0,1.0,0.0,1.0,960.0,1482.0,1276.0,998.0,225.0,59.0
5000.0,1.0,0.0,1.0,555.0,929.0,1251.0,1147.0,818.0,300.0
5000.0,1.0,0.0,0.837261664143672,254.0,417.0,926.0,1364.0,1051.0,988.0
